posts,region,province
Pakiramdam ko mainit ang pakiramdam ngayon. help?,CAR,Kalinga
Feeling cough today. again,III,Nueva Ecija
Feeling cough today. help?,X,Camiguin
Nindot kaayo ang adlaw! 😊,CAR,Mountain Province
Murag ubo nga naay plema ko karon. feeling bad,XI,Davao de Oro
Murag init ang pamati ko karon. tips?,CAR,Benguet
Murag ubo ko karon. again,V,Catanduanes
Murag hilanat ko karon. this sucks,II,Nueva Vizcaya
Murag hubak ko karon. tips?,X,Misamis Oriental
Pakiramdam ko lagnat ngayon. ugh,II,Nueva Vizcaya
Murag init ang pamati/ hilanat ko karon. feeling bad,V,Camarines Norte
Pakiramdam ko maplemang ubo ngayon. this sucks,IX,Zamboanga del Sur
Murag ubo nga naay dulaw ug berde plema ko karon. remedies?,I,Pangasinan
Feeling productive cough today. this sucks,VII,Siquijor
Pakiramdam ko plemang kulay berde ngayon. tips?,X,Misamis Occidental
Murag init ang pamati/ hilanat ko karon. again,VII,Cebu
Pakiramdam ko lagnat ngayon. tips?,XII,Sarangani
What a beautiful day! grateful,VI,Aklan
Pakiramdam ko ubong may plema ngayon. ugh,XIII,Surigao del Norte
Murag ubo nga naay dulaw ug berde plema ko karon. this sucks,IVA,Quezon
Murag daghang plema ko karon. help?,X,Bukidnon
Murag naghubak na naay kauban na dugo ko karon. feeling bad,X,Camiguin
Murag ubo ko karon. feeling bad,IVB,Palawan
Feeling dry cough today. remedies?,VIII,Samar
Murag hubak ko karon. help?,V,Catanduanes
Pakiramdam ko lagnat ngayon. help?,XIII,Agusan del Sur
Murag init ang pamati/ hilanat ko karon. help?,XI,Davao del Norte
Murag ubo ko karon. this sucks,XIII,Agusan del Norte
Pakiramdam ko maplemang ubo ngayon. remedies?,III,Bataan
Pakiramdam ko matagal ng may ubo ngayon. again,VII,Negros Oriental
Pakiramdam ko matagal ng may ubo ngayon. feeling bad,V,Catanduanes
Murag init ang pamati/ hilanat ko karon. this sucks,IVA,Rizal
Murag init ang pamati/ hilanat ko karon. tips?,VI,Iloilo
Murag naghubak na naay kauban na dugo ko karon. tips?,CAR,Apayao
Murag ubo nga naay dulaw ug berde plema ko karon. ugh,II,Nueva Vizcaya
Pakiramdam ko plemang kulay dilaw ngayon. remedies?,IX,Zamboanga del Norte
What a beautiful day! 😊,VIII,Eastern Samar
Pakiramdam ko ubong walang plema ngayon. again,XI,Davao de Oro
Murag hubak na walay plema ko karon. this sucks,VIII,Eastern Samar
Pakiramdam ko matagal ng may ubo ngayon. help?,VII,Negros Oriental
Pakiramdam ko plemang kulay berde ngayon. ugh,CAR,Apayao
Feeling fever today. this sucks,XI,Davao del Norte
What a beautiful day! home,IVB,Oriental Mindoro
Murag huyang ag ubo ko karon. help?,IVB,Romblon
Feeling tuberculosis today. again,IX,Zamboanga del Sur
Pakiramdam ko ubong may plema ngayon. remedies?,X,Misamis Occidental
Murag naghubak na naay kauban na dugo ko karon. help?,CAR,Mountain Province
Pakiramdam ko ubong may plema ngayon. this sucks,BARMM,Maguindanao del Sur
Murag tb ko karon. help?,IVB,Occidental Mindoro
Pakiramdam ko ubong may plema ngayon. feeling bad,IVA,Laguna
Feeling productive cough today. remedies?,V,Camarines Norte
Murag init ang pamati ko karon. feeling bad,II,Cagayan
Pakiramdam ko plemang kulay dilaw ngayon. ugh,XIII,Dinagat Islands
Murag ubo nga naay plema ko karon. again,IX,Zamboanga del Norte
Pakiramdam ko hindi nawawala ang ubo ngayon. feeling bad,XIII,Agusan del Sur
Murag tb ko karon. ugh,V,Sorsogon
Murag kapin sa tulo ka semana nga ubo ko karon. help?,III,Bulacan
Pakiramdam ko mahigit tatlong linggong ubo ngayon. help?,BARMM,Basilan
Murag init ang pamati ko karon. ugh,V,Catanduanes
Pakiramdam ko hindi nawawala ang ubo ngayon. this sucks,XIII,Agusan del Sur
Feeling cough today. ugh,III,Bulacan
Feeling tuberculosis today. this sucks,BARMM,Maguindanao del Sur
Murag huyang ag ubo ko karon. tips?,IVB,Oriental Mindoro
Murag tb ko karon. remedies?,CAR,Apayao
Pakiramdam ko ubo ngayon. feeling bad,VIII,Southern Leyte
Pakiramdam ko matagal ng may ubo ngayon. tips?,VIII,Eastern Samar
Pakiramdam ko plemang kulay berde ngayon. again,NCR,Metro Manila
Pakiramdam ko lagnat ngayon. remedies?,IX,Zamboanga Sibugay
Murag ubo nga naay plema ko karon. this sucks,II,Isabela
Feeling tb today. again,X,Bukidnon
Pakiramdam ko plemang kulay dilaw ngayon. tips?,IVA,Batangas
Pakiramdam ko mahigit tatlong linggong ubo ngayon. remedies?,VII,Negros Oriental
Murag init ang pamati/ hilanat ko karon. remedies?,VI,Aklan
Murag ubo ko karon. ugh,BARMM,Lanao del Sur
Murag kapin sa tulo ka semana nga ubo ko karon. this sucks,XII,Cotabato
Pakiramdam ko maplemang ubo ngayon. again,VIII,Leyte
Murag kapin sa tulo ka semana nga ubo ko karon. ugh,IVA,Laguna
Pakiramdam ko hindi nawawala ang ubo ngayon. again,CAR,Apayao
Murag huyang ag ubo ko karon. feeling bad,X,Misamis Oriental
Pakiramdam ko maplemang ubo ngayon. ugh,V,Catanduanes
Murag daghang plema ko karon. this sucks,IVA,Rizal
Murag hubak ko karon. again,XI,Davao Oriental
Murag huyang ag ubo ko karon. again,X,Misamis Oriental
Murag hubak na walay plema ko karon. again,XI,Davao Occidental
Feeling cough today. this sucks,BARMM,Maguindanao del Norte
Pakiramdam ko mahigit tatlong linggong ubo ngayon. ugh,V,Camarines Sur
Pakiramdam ko ubong walang plema ngayon. help?,I,Ilocos Norte
Murag huyang ag ubo ko karon. ugh,I,La Union
Pakiramdam ko mahigit tatlong linggong ubo ngayon. again,IVA,Cavite
Pakiramdam ko ubong walang plema ngayon. tips?,VII,Negros Oriental
Pakiramdam ko ubong walang plema ngayon. this sucks,IVB,Occidental Mindoro
Pakiramdam ko mahigit tatlong linggong ubo ngayon. tips?,VI,Antique
Murag hilanat ko karon. ugh,X,Misamis Occidental
Pakiramdam ko mainit ang pakiramdam ngayon. feeling bad,VII,Negros Oriental
Murag hubak ko karon. remedies?,IVB,Romblon
What a beautiful day! weather,V,Masbate
Feeling fever today. tips?,XIII,Dinagat Islands
Murag hilanat ko karon. feeling bad,II,Quirino
Murag tb ko karon. this sucks,III,Nueva Ecija
Pakiramdam ko ubong walang plema ngayon. ugh,VII,Siquijor
Pakiramdam ko lagnat ngayon. again,III,Bulacan
Feeling cough with phlegm today. ugh,X,Camiguin
Pakiramdam ko plemang kulay dilaw ngayon. this sucks,VI,Antique
Murag ubo ko karon. remedies?,V,Camarines Norte
Naa koy lagnat ug kalibanga. #help,VI,Iloilo
Sumasakit ang likod ko lately. 😖,IVB,Occidental Mindoro
Nagka-allergy ko sa pagkaon. Grabe!!!,I,La Union
Nalipay ko nga nakakita sa akong karaang higala. 😊,V,Albay
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",I,La Union
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,VIII,Eastern Samar
Nag-birthday akong mama karon! 🎂,XI,Davao Occidental
I've been having headaches for three days. 😣,BARMM,Tawi-tawi
Saan kaya magandang magbakasyon? 🤔 #travelgoals,II,Isabela
Grabe ang trapik kanina. 😤,I,Ilocos Sur
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,X,Misamis Oriental
Sarap ng luto ni nanay! 🍲,XIII,Surigao del Sur
Naa koy lagnat ug kalibanga. #help,VII,Cebu
Nabasag ko yung paborito kong tasa. 😭,V,Albay
Naa koy bag-ong trabaho. Yay! 😁,IVB,Palawan
Naa koy lagnat ug kalibanga. #help,V,Masbate
Sobrang pagod ko at hilo-hilo. 😵,IVA,Cavite
"Feeling under the weather, think I caught a cold. 😷",VIII,Samar
Nagka-allergy ko sa pagkaon. Grabe!!!,XII,South Cotabato
Nindot kaayo ang dagat! 🌊,VI,Negros Occidental
Anyone knows a good remedy for sore throat? #help,VI,Antique
Sumasakit ang likod ko lately. 😖,XIII,Surigao del Sur
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,XII,South Cotabato
Ang ganda ng tanawin sa bundok. 🌄,VIII,Leyte
"Feeling under the weather, think I caught a cold. 😷",I,Ilocos Sur
Nagtatanong kung anong gamot para sa ubo. Help! #sick,XIII,Surigao del Sur
Naa koy bag-ong trabaho. Yay! 😁,BARMM,Sulu
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,XII,Sultan Kudarat
Sumakit ang ulo ko buong araw. 😣,II,Isabela
Nalingaw ko sa among outing. 😍,XIII,Agusan del Sur
Masaya akong makasama ang pamilya ko. 😊,VI,Iloilo
Namiss ko na maglaro ng basketball. 🏀,IVA,Cavite
Init kaayo karong adlawa. 😎,V,Albay
Nagduwa mi og board games. 🎲,CAR,Ifugao
Naa koy bag-ong trabaho. Yay! 😁,III,Aurora
Gidugo ko pag-abot sa balay. 😢,VIII,Northern Samar
Init kaayo karong adlawa. 😎,II,Cagayan
Nagka-allergy ko sa pagkaon. Grabe!!!,BARMM,Maguindanao del Norte
Kinsay nakakita sa akong payong? ☔️,VI,Antique
Nalingaw ko sa among outing. 😍,IVA,Cavite
"Nagsakit akong tiyan karong buntag, unsa kahay maayo ani? 😩",BARMM,Maguindanao del Sur
Sumakit ang ulo ko buong araw. 😣,VI,Capiz
Kusog kaayo ang ulan gabii. 🌧️,BARMM,Maguindanao del Sur
"Feeling under the weather, think I caught a cold. 😷",III,Nueva Ecija
"Gisakit akong ngipon, asa man ko pa-check??",XII,Cotabato
"Masakit ang ngipin ko, kailangan ng dentista... 😬",VI,Capiz
Nag-birthday akong mama karon! 🎂,V,Albay
Nagpabakuna na ako para sa COVID. #vaccinated,XI,Davao Oriental
Sobrang pagod ko at hilo-hilo. 😵,IVB,Oriental Mindoro
Masaya akong makasama ang pamilya ko. 😊,IVB,Palawan
Bag-o ko nakapalit og bike. 🚴‍♂️,X,Lanao del Norte
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",XIII,Dinagat Islands
Laging sumasakit ang tiyan ko tuwing gabi. 😢,VIII,Leyte
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,III,Pampanga
Sumakit ang ulo ko buong araw. 😣,VII,Negros Oriental
Nagduwa mi og board games. 🎲,NCR,Metro Manila
Nagpabakunahan nako batok sa flu. #PreventionIsBetterThanCure,VI,Antique
The weather is amazing today. ☀️,I,Pangasinan
Nindot kaayo ang dagat! 🌊,IVB,Romblon
Naiinis ako sa trabaho. 😠,III,Nueva Ecija
Kinsay nakakita sa akong payong? ☔️,II,Quirino
May lagnat si bunso. 😷,II,Isabela
Nagtatanong kung anong gamot para sa ubo. Help! #sick,IX,Zamboanga Sibugay
My back pain is getting worse. 😖,IVA,Rizal
Bag-o ko nakapalit og bike. 🚴‍♂️,XIII,Agusan del Norte
Init kaayo karong adlawa. 😎,III,Bataan
Sarap ng luto ni nanay! 🍲,XII,Sultan Kudarat
The weather is amazing today. ☀️,VII,Cebu
Nalipay ko nga nakakita sa akong karaang higala. 😊,XI,Davao Oriental
Nag-birthday akong mama karon! 🎂,CAR,Apayao
"Gisakit akong ngipon, asa man ko pa-check??",III,Tarlac
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",VI,Guimaras
Nagtatanong kung anong gamot para sa ubo. Help! #sick,III,Zambales
"Nagsakit akong tiyan karong buntag, unsa kahay maayo ani? 😩",I,Ilocos Norte
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,II,Cagayan
Nagduwa mi og board games. 🎲,III,Bulacan
Gidugo ko pag-abot sa balay. 😢,XIII,Dinagat Islands
May allergy ako sa alikabok. Ughh! 😤,XIII,Agusan del Sur
Ang ganda ng tanawin sa bundok. 🌄,III,Pampanga
Gikulbaan ko kay sigeg sakit akong dughan. 😟,V,Masbate
Nindot kaayo ang dagat! 🌊,IVB,Palawan
Nagka-rashes ko pagkahuman sa picnic. 😫,CAR,Mountain Province
Naa koy lagnat ug kalibanga. #help,X,Misamis Oriental
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",IVB,Occidental Mindoro
Nabasag ko yung paborito kong tasa. 😭,VI,Negros Occidental
Nagka-rashes ko pagkahuman sa picnic. 😫,XI,Davao de Oro
Ang ganda ng tanawin sa bundok. 🌄,X,Misamis Oriental
Bag-o ko nakapalit og bike. 🚴‍♂️,NCR,Metro Manila
I finally finished reading that book! 📚,X,Bukidnon
"Feeling under the weather, think I caught a cold. 😷",XIII,Surigao del Sur
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,XIII,Surigao del Sur
Gidugo ko pag-abot sa balay. 😢,CAR,Mountain Province
Naiinis ako sa trabaho. 😠,CAR,Abra
Bag-o ko nakapalit og bike. 🚴‍♂️,X,Misamis Oriental
Nagpabakunahan nako batok sa flu. #PreventionIsBetterThanCure,VII,Siquijor
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",NCR,Metro Manila
May allergy ako sa alikabok. Ughh! 😤,VI,Antique
Naiinis ako sa trabaho. 😠,VIII,Southern Leyte
Masaya akong makasama ang pamilya ko. 😊,VI,Guimaras
Nabasag ko yung paborito kong tasa. 😭,X,Misamis Occidental
Nagpabakuna na ako para sa COVID. #vaccinated,BARMM,Tawi-tawi
Sobrang pagod ko at hilo-hilo. 😵,X,Lanao del Norte
Masaya akong makasama ang pamilya ko. 😊,IVB,Occidental Mindoro
My back pain is getting worse. 😖,VIII,Leyte
Bag-o ko nakapalit og bike. 🚴‍♂️,I,Ilocos Sur
Sarap ng luto ni nanay! 🍲,CAR,Abra
Nagtatae ako simula kagabi. 🤢,IVB,Oriental Mindoro
Laging sumasakit ang tiyan ko tuwing gabi. 😢,IX,Zamboanga Sibugay
Init kaayo karong adlawa. 😎,X,Misamis Oriental
Ang ganda ng tanawin sa bundok. 🌄,III,Bulacan
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",VII,Siquijor
My back pain is getting worse. 😖,II,Cagayan
Nagpabakunahan nako batok sa flu. #PreventionIsBetterThanCure,IVA,Batangas
Got my flu shot today! 💉,XIII,Dinagat Islands
Feeling grateful for my friends. 😊,XII,Cotabato
Nagka-rashes ko pagkahuman sa picnic. 😫,CAR,Mountain Province
Nagka-allergy ko sa pagkaon. Grabe!!!,BARMM,Tawi-tawi
Nagtatanong kung anong gamot para sa ubo. Help! #sick,IX,Zamboanga del Norte
Kinsay nakakita sa akong payong? ☔️,IVA,Cavite
Kinsay nakakita sa akong payong? ☔️,V,Albay
Kusog kaayo ang ulan gabii. 🌧️,V,Camarines Sur
Kinsay nakakita sa akong payong? ☔️,II,Batanes
Laging sumasakit ang tiyan ko tuwing gabi. 😢,CAR,Benguet
Nag-birthday akong mama karon! 🎂,II,Quirino
May allergy ako sa alikabok. Ughh! 😤,X,Lanao del Norte
Naa koy lagnat ug kalibanga. #help,CAR,Mountain Province
Nagtatae ako simula kagabi. 🤢,X,Camiguin
Nagduwa mi og board games. 🎲,XII,Cotabato
Naiinis ako sa trabaho. 😠,IVB,Occidental Mindoro
The weather is amazing today. ☀️,II,Nueva Vizcaya
Nabasag ko yung paborito kong tasa. 😭,V,Masbate
Bag-o ko nakapalit og bike. 🚴‍♂️,I,La Union
Gidugo ko pag-abot sa balay. 😢,IVB,Romblon
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",XI,Davao del Norte
Gidugo ko pag-abot sa balay. 😢,VIII,Southern Leyte
Nag-birthday akong mama karon! 🎂,XI,Davao de Oro
Grabe ang trapik kanina. 😤,XII,Sultan Kudarat
Sarap ng luto ni nanay! 🍲,XII,Sarangani
Init kaayo karong adlawa. 😎,NCR,Metro Manila
Nalingaw ko sa among outing. 😍,IVA,Laguna
May lagnat si bunso. 😷,XII,Sultan Kudarat
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",BARMM,Tawi-tawi
My back pain is getting worse. 😖,II,Nueva Vizcaya
Namiss ko na maglaro ng basketball. 🏀,I,Pangasinan
Naa koy lagnat ug kalibanga. #help,IVA,Cavite
Masaya akong makasama ang pamilya ko. 😊,BARMM,Basilan
Init kaayo karong adlawa. 😎,CAR,Benguet
Gidugo ko pag-abot sa balay. 😢,I,Ilocos Norte
Nag-birthday akong mama karon! 🎂,IX,Zamboanga del Sur
Naa koy lagnat ug kalibanga. #help,V,Camarines Sur
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,BARMM,Lanao del Sur
"Feeling under the weather, think I caught a cold. 😷",IX,Zamboanga Sibugay
The weather is amazing today. ☀️,BARMM,Lanao del Sur
My back pain is getting worse. 😖,BARMM,Maguindanao del Norte
Sarap ng luto ni nanay! 🍲,X,Camiguin
Kusog kaayo ang ulan gabii. 🌧️,IVA,Batangas
Gidugo ko pag-abot sa balay. 😢,X,Lanao del Norte
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,IVB,Oriental Mindoro
Got my flu shot today! 💉,VI,Antique
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",IVA,Batangas
Feeling grateful for my friends. 😊,VI,Capiz
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,BARMM,Maguindanao del Sur
Nalingaw ko sa among outing. 😍,X,Lanao del Norte
I've been having headaches for three days. 😣,VIII,Eastern Samar
Init kaayo karong adlawa. 😎,V,Masbate
Kusog kaayo ang ulan gabii. 🌧️,V,Camarines Sur
Nagpabakunahan nako batok sa flu. #PreventionIsBetterThanCure,XII,South Cotabato
Bag-o ko nakapalit og bike. 🚴‍♂️,IX,Zamboanga Sibugay
Sarap ng luto ni nanay! 🍲,III,Bataan
Masaya akong makasama ang pamilya ko. 😊,IVA,Cavite
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",I,La Union
"Gisakit akong ngipon, asa man ko pa-check??",VII,Negros Oriental
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,VI,Capiz
Anyone knows a good remedy for sore throat? #help,VIII,Southern Leyte
Kusog kaayo ang ulan gabii. 🌧️,CAR,Benguet
Kusog kaayo ang ulan gabii. 🌧️,IVB,Marinduque
Naa koy lagnat ug kalibanga. #help,VIII,Samar
"Feeling under the weather, think I caught a cold. 😷",VI,Aklan
Nagka-allergy ko sa pagkaon. Grabe!!!,IVB,Romblon
Sarap ng luto ni nanay! 🍲,III,Zambales
Kinsay nakakita sa akong payong? ☔️,V,Camarines Sur
Kusog kaayo ang ulan gabii. 🌧️,BARMM,Basilan
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,VI,Capiz
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,VII,Cebu
Sumakit ang ulo ko buong araw. 😣,CAR,Benguet
Nalingaw ko sa among outing. 😍,V,Sorsogon
Nagpabakunahan nako batok sa flu. #PreventionIsBetterThanCure,I,La Union
Nag-aaral akong magluto ng bagong recipe. 👩‍🍳,VI,Iloilo
Nagpabakuna na ako para sa COVID. #vaccinated,XIII,Dinagat Islands
Gidugo ko pag-abot sa balay. 😢,VIII,Biliran
Nabasag ko yung paborito kong tasa. 😭,VII,Cebu
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,XIII,Surigao del Sur
Kusog kaayo ang ulan gabii. 🌧️,V,Camarines Norte
Naa koy lagnat ug kalibanga. #help,VIII,Leyte
Gidugo ko pag-abot sa balay. 😢,BARMM,Basilan
Init kaayo karong adlawa. 😎,XII,Sultan Kudarat
Naiinis ako sa trabaho. 😠,IVA,Quezon
Nagtatae ako simula kagabi. 🤢,IVA,Cavite
Nagpabakuna na ako para sa COVID. #vaccinated,CAR,Kalinga
Init kaayo karong adlawa. 😎,XIII,Surigao del Sur
Nagka-rashes ko pagkahuman sa picnic. 😫,V,Catanduanes
Gidugo ko pag-abot sa balay. 😢,CAR,Apayao
Naiinis ako sa trabaho. 😠,IVB,Marinduque
Namiss ko na maglaro ng basketball. 🏀,I,Ilocos Sur
Nagtatae ako simula kagabi. 🤢,X,Bukidnon
"Nagsakit akong tiyan karong buntag, unsa kahay maayo ani? 😩",BARMM,Sulu
Bag-o ko nakapalit og bike. 🚴‍♂️,III,Nueva Ecija
"Nagsakit akong tiyan karong buntag, unsa kahay maayo ani? 😩",BARMM,Tawi-tawi
Nagtatae ako simula kagabi. 🤢,IX,Zamboanga del Norte
Nagtatanong kung anong gamot para sa ubo. Help! #sick,IVB,Palawan
Nagtatae ako simula kagabi. 🤢,X,Bukidnon
Init kaayo karong adlawa. 😎,III,Pampanga
Nagpabakuna na ako para sa COVID. #vaccinated,BARMM,Basilan
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,I,Pangasinan
Saan kaya magandang magbakasyon? 🤔 #travelgoals,I,Pangasinan
Nagka-allergy ko sa pagkaon. Grabe!!!,IVB,Romblon
"Naa koy sakit sa likod, kinahanglan nako og check-up... 😖",V,Albay
Nag-birthday akong mama karon! 🎂,II,Quirino
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,BARMM,Basilan
Saan kaya magandang magbakasyon? 🤔 #travelgoals,IVA,Laguna
Nindot kaayo ang dagat! 🌊,III,Zambales
Nagpabakunahan nako batok sa flu. #PreventionIsBetterThanCure,II,Nueva Vizcaya
Kinsay nakakita sa akong payong? ☔️,VIII,Southern Leyte
Gikulbaan ko kay sigeg sakit akong dughan. 😟,VIII,Samar
Gidugo ko pag-abot sa balay. 😢,II,Nueva Vizcaya
Bag-o ko nakapalit og bike. 🚴‍♂️,I,Pangasinan
May lagnat si bunso. 😷,IX,Zamboanga del Sur
Bag-o ko nakapalit og bike. 🚴‍♂️,V,Camarines Norte
Nagtatanong kung anong gamot para sa ubo. Help! #sick,IVA,Rizal
Sumakit ang ulo ko buong araw. 😣,VII,Cebu
Nagka-rashes ko pagkahuman sa picnic. 😫,X,Misamis Occidental
Nagpatingin ko sa doktor tungod sa akong ubo. 😷,II,Nueva Vizcaya
I finally finished reading that book! 📚,II,Isabela
Masaya akong makasama ang pamilya ko. 😊,VI,Capiz
